,id,text,label,subtask_b,subtask_c
0,86426,ask native americans take,1,UNT,
1,90194,home youre drunk maga trump url,1,TIN,IND
2,16820,amazon investigating chinese employees selling internal data thirdparty sellers looking edge competitive marketplace url amazon maga kag china tcot,0,,
3,62688,someone shouldvetaken piece shit volcano,1,UNT,
4,43605,obama wanted liberals amp illegals move red states,0,,
5,97670,liberals kookoo,1,TIN,OTH
6,77444,noes tough shit,1,UNT,
7,52415,literally talking lol mass shootings like set ups propaganda used divide major issues like gun control terrorism,1,TIN,GRP
8,45157,buy icecream,0,,
9,13384,canada doesnt need another cuck already enough looneyleft liberals fking great country qproofs trudeaumustgo,1,TIN,IND
10,82776,fault support gun control,0,,
11,42992,whats difference kavanaugh one men admitted groping year old girl years ago going confirmed scj demsarefrauds demsaredone walkawaydemocrats redwave voteredsaveamerica trumptrain maga url,0,,
12,28414,lying corrupt traitor nobody wants hear anymore lies deepstatecorruption url,1,TIN,IND
13,54920,scare every american playing hockey warped puck,0,,
14,56392,like soda like like boarders lot ice,0,,
15,86735,also king taste,0,,
16,95686,maga sing like one listening love like youve never hurt vote gop one watching dont listen liberals dirt url,0,,
17,71446,time right house respond concerns canadians four five canadians support stronger gun control good reason guncontrol cdnpoli cdnhist,0,,
18,23958,besides jaxs mom maybe ope hands favorite hes like good person show,0,,
19,28195,gun control kids asking,1,TIN,OTH
20,56117,lol throwing bullshit flag nonsense putuporshutup kavanaugh maga callthevotealready url,1,TIN,IND
21,67757,correct,0,,
22,12681,kind like conservatives wanna associate everyone left communist antifa members,1,TIN,GRP
23,82904,fuck going people theres mens room womens room pick one stick,1,TIN,GRP
24,63236,willie fan since bornlove holding rally beto exactly fans furious could give specifics url,0,,
25,77665,tbh days dont like people general dont connect people days annoyance,1,TIN,IND
26,83484,south korean official leaders discuss specific denuke measures pyongyang url tcot maga rednationrising,0,,
27,74932,tell hooper,0,,
28,91252,feel like better chasing title,0,,
29,25440,referring hillary know tiresome bernie supporters bashing hillary clinton actual democrat raises money democratic party doesnt bash positive message dividing left,1,UNT,
30,81613,glad see friends supporting metis rights much supporting zionists url,0,,
31,82333,yes asking movie,0,,
32,12609,thing democrats lying stalling stop trump president done lately trump kavanaugh maga demsuck,1,TIN,GRP
33,13017,wonder apologetic social day,0,,
34,18129,updates ending blatant racism windrush amp grenfell proves alloutpolitics politicslive pmqs url,0,,
35,70380,know whats going happen going lay bed cry listen kelly clarkson thanks free speech antifa,0,,
36,12108,smart think gen flynns sentencing keeps rescheduled url,1,TIN,IND
37,14726,thats expected placate violent leftiststerrorists kavanaughconfirmation woke,1,TIN,GRP
38,74358,blow hard,0,,
39,82599,means max lvl twitter maybe try new game,0,,
40,40212,please explain controlled opposition means bernier escaping split rest conservatives hes even racist exclusionary want,0,,
41,78367,socialists politics stand downtrodden well done conflating criticism israel anti semitism also part problem,0,,
42,66596,nina one reasons didnt read book long worried character shouldve trusted everyone nina goddamn goddess would die thousand times big bold lovely perfect arc perfect,0,,
43,70999,please vote kavanaugh fit scotus allegations women shady financials disqualify ruleoflaw matters metoo countryoverparty withdrawkavanaugh stopkavanaugh,0,,
44,36026,ppl say racist racist racist repeat,0,,
45,29439,kathy patriot love great president trump spine steel changing trade amp everything americans americafirst usa maga leadership amp respect economy jobs peacethrustrength god bless trump amp theusa,0,,
46,74477,wow liberals really dont sense humor,0,,
47,49845,fucking ready,0,,
48,32305,holy moly catholic people havent awakened falseprophet lunatic,0,,
49,77243,lol yeah per dina everyday per claudia horse got vet care unless donation example limping etc,0,,
50,73205,surprise antifa blm soros americas worst enemy history believes way take usa withing hes right gunna happen,0,,
51,47311,wedding best pretty,0,,
52,48553,conflict heredont look soros involved violent left agenda antifa also,0,,
53,75689,url announcements every come fruition basically stealing labours ideas get votes,0,,
54,84102,british people basically fullon racists voters vote conservatives coincidence,1,TIN,GRP
55,10607,guncontrol advocates must stop falling assure electorate love horrific url,0,,
56,43913,love huge fan camila mendes would alright used tweet promotional material,0,,
57,98992,fuck,1,TIN,IND
58,92056,certainly weird view toward margaret sanger geonicidal philosophy aborting minorities like know black population suffers shares opinion,0,,
59,33853,prison system fucked still getting away potentially murder intent prisoners die hurricane louisiana like inmates went missing,1,TIN,OTH
60,75215,useless attempts right thing never follows,1,TIN,IND
61,96218,walkaway liberalsyour party poison url,0,,
62,57013,grateful trump doesnt dog white house cruel man,1,TIN,IND
63,20883,lying stick facts pay,0,,
64,74831,trump kicks dem butt fun,1,TIN,IND
65,53264,dumb dumber one president two one,1,TIN,IND
66,28204,toxictory minister attempted expense charity donation toriesmustgo dissolvetheunion url,0,,
67,42024,straight forword man saw dance dewwane talk free kitnay porrany industry mein really like quality even gather senior artist love manmarziyaan,0,,
68,84664,clown prison,1,TIN,IND
69,54842,twitter silence alex jones retaliation asking twitter jack questions url,0,,
70,48995,thats old man,1,TIN,IND
71,47153,obstructionists antiamerican pharisees ask running get nothing maga,1,TIN,OTH
72,76826,youre notyoure represent alinskyite orwellian leftist toolampfool view thingslike marxistsampantifa similar upsst use words fascist fascism ahead amp read dsouzas book big lieright know squat either,0,,
73,27645,remember somehow centrist antifahaters never quite seem bring condemn things,0,,
74,64429,mean worked gun control right url,1,TIN,GRP
75,20943,think last thing trumps mind april ryan needs stop flattering shes important thinks,0,,
76,78064,principled conservatives hypocrickets,0,,
77,14122,dont forget amp democrat backed antifa,0,,
78,72353,beautiful person teach values kids teaching royalty keep keep going heads stay real,0,,
79,39051,bring antifa criminal son campaign,0,,
80,54546,didnt watch watch watching september stories came together stood shoulder shoulder made proud even issues yet people playing damn game cannot stand momentprotest saturday,0,,
81,50759,tear made water feelings,0,,
82,75992,trump addresses gun control representing nra let says url,0,,
83,45068,drinking much koolaid shes bloated,1,TIN,IND
84,17259,holder needs prosecuted,0,,
85,95225,players women women color,0,,
86,84667,institution let tweet behaves window licker,1,TIN,IND
87,14574,babysitting kids peoplehow old think three kids medont get mad dont get mad dont know dont know,0,,
88,23784,well url,0,,
89,93119,wtc threat maga qanon wakeupamerica url,1,TIN,IND
90,30115,easily digestible content theres need nuance even understand story show picture antifa get base level emotional response content requires order profitable,0,,
91,69281,try looking plain old democrats liberals ones cant conversation,0,,
92,15322,great news old moonbeam went coma,0,,
93,75089,omg extra ily,0,,
94,21379,please call trump isa narcissistic sociopath,1,TIN,IND
95,43133,unfortunately america system like would called racist liberals believe exams racist minority groups,0,,
96,52102,know still alivebut wondering career railroaded odd loved herespecially day,0,,
97,59537,guy always presentbet lol,0,,
98,44209,baby url,0,,
99,96664,persuasive fam,0,,
100,12559,thats nothing new going vote anywaywe vote liberals november url,0,,
101,61914,burt cool dude,0,,
102,32317,maga trump follow follow back,0,,
103,94767,thank finally point okay using heat happy,0,,
104,64835,kind like trump time huh,0,,
105,41353,former antifa white house arrest citizen arrest someone explain,0,,
106,52252,fuck,1,TIN,GRP
107,91001,good movehe big loser,1,TIN,IND
108,18495,lets get bottom zipcode ill check back make sure enjoying best offer asap nevinbruce,0,,
109,76680,record know doug jones personally sen credible choice wont next election,0,,
110,88013,presidents feelings totally opposite cnns feelings say cnn theyre liberals,0,,
111,66349,literally narrative par nazis punch antifa punch two sides coin noooooooo one groups wants exterminate deport poc jews wants prevent comparison benefits fash,1,UNT,
112,80561,many dumb arguments gun control may dumbest common,1,TIN,IND
113,16052,idk whats going,0,,
114,49996,yall need chill really abysmal half rizzo abysmal half baseball happens things still needs work yes power numbers dropped yes could bounce back anytime url,0,,
115,77086,dude old lmao pack,0,,
116,10972,thats trump supporters cant even wear hat without abused meet animals left attack antifa branch communistsocialistnazis democrat party,0,,
117,69160,laughs ive gotten enough,0,,
118,28380,well,0,,
119,40252,first dont even pizza panera,0,,
120,39907,please dont kill antifa hand,1,TIN,IND
121,16164,see shanahan say spoon healthy game obviously excuses youre maybe doom sort thing seemed game maybe still pretty good,0,,
122,52824,good girl,0,,
123,77294,ugly black hearted troll url,1,TIN,IND
124,13420,clearly pokemon master almost rare candy alone legacy moveset pokemon depends like keep collection pieces value game,0,,
125,16940,dont believe hype,1,UNT,
126,83816,followed new maga please follow back,0,,
127,99156,protests reported sunderland except football fan one flag says westbrom getting worse even type maga mega mbga mcga conservatives patriots muslims farleft leftists doomed lose realises civilwar soon url,0,,
128,11255,liberals would still vote theyll claim comments taken context still man integrity,0,,
129,28841,saved maga,1,TIN,IND
